Category,Product Name,Product Link,Primary Image,Original Price,Sale Price,Description,Sizes,All Images
pants,WAVY BLACK PANTS,https://www.bluorng.com/products/wavy-black-pants,//bluorng.com/cdn/shop/files/blackpant.jpg?v=1721033042&width=533,"RS. 5,995","RS. 5,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38","//bluorng.com/cdn/shop/files/blackpant.jpg?v=1721033042&width=1946, //bluorng.com/cdn/shop/files/blackpantback.jpg?v=1721033042&width=1946, //bluorng.com/cdn/shop/files/Untitled-5.jpg?v=1721809059&width=1946"
pants,BLACK ON BLACK PANTS,https://www.bluorng.com/products/black-solid-pants,//bluorng.com/cdn/shop/files/Untitled-6.jpg?v=1722410882&width=533,"RS. 5,995","RS. 5,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38, W40","//bluorng.com/cdn/shop/files/Untitled-6.jpg?v=1722410882&width=1946, //bluorng.com/cdn/shop/files/normalblack.jpg?v=1722410901&width=1946, //bluorng.com/cdn/shop/files/normalblackback.jpg?v=1722410907&width=1946"
pants,PANDA PANTS,https://www.bluorng.com/products/panda-pants,//bluorng.com/cdn/shop/files/Untitled-1-Recovered1.jpg?v=1722698808&width=533,"RS. 6,995","RS. 6,995",Cotton twill pants that are relaxed-straight fitted.,"W26, W28, W30, W32, W34, W36, W38","//bluorng.com/cdn/shop/files/Untitled-1-Recovered1.jpg?v=1722698808&width=1946, //bluorng.com/cdn/shop/files/Untitled-1-Recovered2.jpg?v=1722698809&width=1946"
pants,BEIGE SOLID PANTS,https://www.bluorng.com/products/beige-solid-pants,//bluorng.com/cdn/shop/files/Untitled-2_c9fc35c3-aab3-4b93-a7ad-dd571c115db1.jpg?v=1722700115&width=533,"RS. 5,995","RS. 5,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38","//bluorng.com/cdn/shop/files/Untitled-2_c9fc35c3-aab3-4b93-a7ad-dd571c115db1.jpg?v=1722700115&width=1946, //bluorng.com/cdn/shop/files/beigepantfront_a4704200-621e-492b-9cdc-0a94bed8d732.jpg?v=1722410943&width=1946, //bluorng.com/cdn/shop/files/beigepantback_6b5a35ac-c2c1-4ea7-8e41-7f27cfaf2721.jpg?v=1722410943&width=1946"
pants,WAVY BEIGE PANTS,https://www.bluorng.com/products/wavy-beige-pants,//bluorng.com/cdn/shop/files/Untitled-1_51b34f05-6c7c-4758-91d0-f9f5062da1fd.jpg?v=1721916311&width=533,"RS. 5,995","RS. 5,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38",//bluorng.com/cdn/shop/files/Untitled-1_51b34f05-6c7c-4758-91d0-f9f5062da1fd.jpg?v=1721916311&width=1946
pants,IRON SOLID PANTS,https://www.bluorng.com/products/iron-solid-pants,//bluorng.com/cdn/shop/files/Untitled-2copy_903ed4f8-4582-47b3-a2c0-58b0eaf2044e.jpg?v=1722410616&width=533,"RS. 5,995","RS. 5,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38","//bluorng.com/cdn/shop/files/Untitled-2copy_903ed4f8-4582-47b3-a2c0-58b0eaf2044e.jpg?v=1722410616&width=1946, //bluorng.com/cdn/shop/files/Untitled-3copy_087363bd-b5c1-418d-9fa0-5abc869ac3be.jpg?v=1722410730&width=1946"
pants,REVERSE PANDA PANTS,https://www.bluorng.com/products/reverse-panda-pants,//bluorng.com/cdn/shop/files/reversepanda.jpg?v=1722698841&width=533,"RS. 6,995","RS. 6,995",Cotton twill pants that are relaxed-straight fitted.Minimal screen print in the front and back.,"W26, W28, W30, W32, W34, W36, W38","//bluorng.com/cdn/shop/files/reversepanda.jpg?v=1722698841&width=1946, //bluorng.com/cdn/shop/files/Untitled-1-Recovered.jpg?v=1722698841&width=1946"
