Category,Product Name,Product Link,Sale Price,Original Price,Sizes,Primary Image,Product Secondary Images,Product URLs,Product Description
Baby Tees,Van Gogh x Burger Brushstroke Cypresses baby tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/van-gogh-x-burger-brushstroke-cypresses-baby-tee-for-women,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/DSC03113.jpg?v=1698495079&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/DSC03113_200x200_crop_center.jpg?v=1698495079', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03138_200x200_crop_center.jpg?v=1698495079', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03163_200x200_crop_center.jpg?v=1698495080', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03197_200x200_crop_center.jpg?v=1698495080', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03419_200x200_crop_center.jpg?v=1698497118', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03441_200x200_crop_center.jpg?v=1698497118', 'www.burgerbaeclothing.com/cdn/shop/files/DSC03450_200x200_crop_center.jpg?v=1698497119']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/van-gogh-x-burger-brushstroke-cypresses-baby-tee-for-women,[]
Baby Tees,Pac Man : Burger bae Round Neck BABY TEE For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/pac-man-baby-tee,499,999,"['Xs', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/PacMan_2.jpg?v=1696423027&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/PacMan_2_200x200_crop_center.jpg?v=1696423027', 'www.burgerbaeclothing.com/cdn/shop/files/1_6274f005-a591-4f0c-978b-214a91756bdd_200x200_crop_center.png?v=1696423027']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/pac-man-baby-tee,[]
Baby Tees,Bitch mode : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/bitch-mode-baby-tee-t-shirt,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/bitch-mode-burger-bae-round-neck-crop-baby-tee-burgerbae-1.jpg?v=1687504927&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/bitch-mode-burger-bae-round-neck-crop-baby-tee-burgerbae-1_200x200_crop_center.jpg?v=1687504927', 'www.burgerbaeclothing.com/cdn/shop/files/bitch-mode-burger-bae-round-neck-crop-baby-tee-burgerbae-2_200x200_crop_center.jpg?v=1687504931', 'www.burgerbaeclothing.com/cdn/shop/files/bitch-mode-burger-bae-round-neck-crop-baby-tee-burgerbae-3_200x200_crop_center.jpg?v=1687504934']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/bitch-mode-baby-tee-t-shirt,[]
Baby Tees,The Flying Pony : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/the-flying-pony-burger-bae-round-neck-crop-baby-tee,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-1.jpg?v=1687501766&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-1_200x200_crop_center.jpg?v=1687501766', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-2_200x200_crop_center.jpg?v=1687501769', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-3_200x200_crop_center.jpg?v=1687501772', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-4_200x200_crop_center.jpg?v=1687501775', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-5_200x200_crop_center.jpg?v=1687501778', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-6_200x200_crop_center.jpg?v=1687501782', 'www.burgerbaeclothing.com/cdn/shop/files/the-flying-pony-burger-bae-round-neck-crop-baby-tee-burgerbae-7_200x200_crop_center.jpg?v=1687501784']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/the-flying-pony-burger-bae-round-neck-crop-baby-tee,[]
Baby Tees,Hot Stuff : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/hot-stuff-baby-tee-t-shirt,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/HotStuff_d61d9a5f-d4af-41d4-ad21-69b04afa322c.jpg?v=1723885430&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/HotStuff_d61d9a5f-d4af-41d4-ad21-69b04afa322c_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-1_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-2_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-3_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-4_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-5_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-6_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-7_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-8_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-9_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/hot-stuff-burger-bae-round-neck-crop-baby-tee-burgerbae-10_200x200_crop_center.jpg?v=1723885430', 'www.burgerbaeclothing.com/cdn/shop/files/Groupof2Objects_54_200x200_crop_center.jpg?v=1693668482']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/hot-stuff-baby-tee-t-shirt,[]
Baby Tees,Kinky : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kinky-burger-bae-round-neck-crop-baby-tee-for-women,499,999,"['Xs', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/DSC01506.jpg?v=1694871616&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/DSC01506_200x200_crop_center.jpg?v=1694871616', 'www.burgerbaeclothing.com/cdn/shop/files/DSC01475_200x200_crop_center.jpg?v=1707717005', 'www.burgerbaeclothing.com/cdn/shop/files/DSC01498_200x200_crop_center.jpg?v=1707717005', 'www.burgerbaeclothing.com/cdn/shop/files/DSC01512_200x200_crop_center.jpg?v=1707717005', 'www.burgerbaeclothing.com/cdn/shop/files/kinky_200x200_crop_center.jpg?v=1707717005', 'www.burgerbaeclothing.com/cdn/shop/files/kinky_2_200x200_crop_center.jpg?v=1694248812', 'www.burgerbaeclothing.com/cdn/shop/files/kinky_3_200x200_crop_center.jpg?v=1694248812', 'www.burgerbaeclothing.com/cdn/shop/files/DSC09737_200x200_crop_center.jpg?v=1697194949', 'www.burgerbaeclothing.com/cdn/shop/files/DSC09755_200x200_crop_center.jpg?v=1697194949', 'www.burgerbaeclothing.com/cdn/shop/files/DSC07263_200x200_crop_center.jpg?v=1699957459', 'www.burgerbaeclothing.com/cdn/shop/files/DSC07269_200x200_crop_center.jpg?v=1699957459', 'www.burgerbaeclothing.com/cdn/shop/files/DSC07254_200x200_crop_center.jpg?v=1699957460', 'www.burgerbaeclothing.com/cdn/shop/files/DSC07296_200x200_crop_center.jpg?v=1699957460']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kinky-burger-bae-round-neck-crop-baby-tee-for-women,[]
Baby Tees,Kuromi Lovestruck  : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-lovestruck-burger-bae-round-neck-crop-baby-tee,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/KuromiLovestruck_5e96bfc4-794a-4999-ab8c-1527700700bb.jpg?v=1696422889&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/KuromiLovestruck_5e96bfc4-794a-4999-ab8c-1527700700bb_200x200_crop_center.jpg?v=1696422889', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiLovestruck_2_200x200_crop_center.jpg?v=1706858658', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiLovestruck_1_200x200_crop_center.jpg?v=1696422889', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiLovestruck_200x200_crop_center.jpg?v=1696422889']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-lovestruck-burger-bae-round-neck-crop-baby-tee,[]
Baby Tees,Kuromi buzz Off  : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-buzz-off-burger-bae-round-neck-crop-baby-tee,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/KuromiBuzzOff_2_a4b6c18d-89bf-41ab-ba7d-03841f57c603.jpg?v=1706866941&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/KuromiBuzzOff_2_a4b6c18d-89bf-41ab-ba7d-03841f57c603_200x200_crop_center.jpg?v=1706866941', 'www.burgerbaeclothing.com/cdn/shop/files/kuromibuzz_2_200x200_crop_center.jpg?v=1696422869', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiBuzzOff_200x200_crop_center.jpg?v=1696422869', 'www.burgerbaeclothing.com/cdn/shop/files/kuromibuzz_200x200_crop_center.jpg?v=1696422869']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-buzz-off-burger-bae-round-neck-crop-baby-tee,[]
Baby Tees,Kuromi Cupid  : Burger Bae Round Neck Crop Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-cupid-burger-bae-round-neck-crop-baby-tee,499,999,"['XS', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/KuromiCupid_606e8f85-b13b-446e-9e7b-c19d354884b6.jpg?v=1696422881&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/KuromiCupid_606e8f85-b13b-446e-9e7b-c19d354884b6_200x200_crop_center.jpg?v=1696422881', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiCupid_2_bf9a87fe-dd7b-4996-a74c-5bab2b1d418a_200x200_crop_center.jpg?v=1706867291', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiCupid_1_200x200_crop_center.jpg?v=1696422881', 'www.burgerbaeclothing.com/cdn/shop/files/KuromiCupid_200x200_crop_center.jpg?v=1696422881']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/kuromi-cupid-burger-bae-round-neck-crop-baby-tee,[]
Baby Tees,Sanrio Family : Burger bae Baby Tee For Women,https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/sanrio-logo-burger-bae-baby-tee,499,999,"['Xs', 'S', 'M', 'L']",www.burgerbaeclothing.com/cdn/shop/files/sanriologo_44731632-2af3-4f63-9ecc-15a91ba27573.jpg?v=1696423211&width=720,"['www.burgerbaeclothing.com/cdn/shop/files/sanriologo_44731632-2af3-4f63-9ecc-15a91ba27573_200x200_crop_center.jpg?v=1696423211', 'www.burgerbaeclothing.com/cdn/shop/files/28_3b929ece-8160-4247-8b9c-a6bfaa97682e_200x200_crop_center.png?v=1696423211', 'www.burgerbaeclothing.com/cdn/shop/files/29_2a5006e7-e2ac-406c-85fb-78ed5c63ddf0_200x200_crop_center.png?v=1696423211', 'www.burgerbaeclothing.com/cdn/shop/files/30_baa8b3a7-5633-4961-b2cd-d9a92d5c1a41_200x200_crop_center.png?v=1696423211', 'www.burgerbaeclothing.com/cdn/shop/files/27_e8efe58f-6f6f-411a-805e-8cc4f556ec9c_200x200_crop_center.png?v=1696423211']",https://www.burgerbaeclothing.com/collections/baby-tees-starting-from-399/products/sanrio-logo-burger-bae-baby-tee,[]
