Gender,Category,Sub Category,Link
Women,Jeans,Slim & Straight,https://www2.hm.com/en_in/women/shop-by-product/jeans/straight.html
Women,Jeans,Loose & Baggy,https://www2.hm.com/en_in/women/shop-by-product/jeans/loose.html
Women,Jeans,Boyfriend Jeans,https://www2.hm.com/en_in/women/shop-by-product/jeans/boyfriend.html
Women,Jeans,Mom Jeans,https://www2.hm.com/en_in/women/shop-by-product/jeans/mom.html
Women,Trousers,Wide Leg Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/wide-leg.html
Women,Trousers,High Waisted Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/high-waisted.html
Women,Trousers,Cargo Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/cargo.html
Women,Trousers,Leggings,https://www2.hm.com/en_in/women/shop-by-product/trousers/leggings.html
Women,Trousers,Joggers,https://www2.hm.com/en_in/women/shop-by-product/trousers/joggers.html
Women,Trousers,Flared Trousers,https://www2.hm.com/en_in/women/shop-by-product/trousers/flare.html
Women,Skirts,Mini,https://www2.hm.com/en_in/women/shop-by-product/skirts/mini.html
Women,Skirts,Pleated Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/pleated.html
Women,Skirts,Short Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/short-skirts.html
Women,Skirts,Midi Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/midi-skirts.html
Women,Skirts,Maxi skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/long-skirts.html
Women,Skirts,Pencil Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/pencil-skirts.html
Women,Skirts,Denim Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/denim-skirts.html
Women,Skirts,High Waisted Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/high-waisted-skirts.html
Women,Skirts,Skater skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/skater-skirts.html
Women,Skirts,Wrap Skirts,https://www2.hm.com/en_in/women/shop-by-product/skirts/wrap-skirts.html
Women,Jackets & Coats,Teddy & Pile,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/teddy.html
Women,Jackets & Coats,Hooded Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/hooded.html
Women,Jackets & Coats,Raincoats,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/raincoats.html
Women,Jackets & Coats,Anoraks,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/anoraks.html
Women,Jackets & Coats,Gilets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/puffer-vests.html
Women,Jackets & Coats,Shackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/shirt-jackets.html
Women,Jackets & Coats,Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/jackets.html
Women,Jackets & Coats,Coats,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/coats.html
Women,Jackets & Coats,Denim jacket,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/denim-jackets.html
Women,Jackets & Coats,Puffer Jackets,https://www2.hm.com/en_in/women/shop-by-product/jackets-coats/puffer.html
Women,Sportswear,Sports Bras,https://www2.hm.com/en_in/women/shop-by-product/sportswear/sports-bras.html
Women,Sportswear,Bottoms,https://www2.hm.com/en_in/women/shop-by-product/sportswear/bottoms.html
Women,Sportswear,Leggings & Tights,https://www2.hm.com/en_in/women/shop-by-product/sportswear/leggings-tights.html
Women,Sportswear,T-shirts & Tops,https://www2.hm.com/en_in/women/shop-by-product/sportswear/tops-t-shirts.html
Women,Sportswear,Jackets,https://www2.hm.com/en_in/women/shop-by-product/sportswear/jackets.html
Women,Sportswear,Trousers & Joggers,https://www2.hm.com/en_in/women/shop-by-product/sportswear/trousers.html
Women,Sportswear,Shorts,https://www2.hm.com/en_in/women/shop-by-product/sportswear/shorts.html
Women,Sportswear,Sports Accessories,https://www2.hm.com/en_in/women/shop-by-product/sportswear/accessories.html
Women,Sportswear,Yoga,https://www2.hm.com/en_in/women/shop-by-product/sportswear/yoga.html
Women,Jumpsuits,Dungarees,https://www2.hm.com/en_in/women/shop-by-product/jumpsuits-playsuits/dungarees.html
Women,Jumpsuits,Long,https://www2.hm.com/en_in/women/shop-by-product/jumpsuits-playsuits/long-jumpsuits.html
Women,Jumpsuits,Short,https://www2.hm.com/en_in/women/shop-by-product/jumpsuits-playsuits/playsuits-rompers.html
Men,T-shirts & Tops,Multipacks,https://www2.hm.com/en_in/men/shop-by-product/tshirts-tank-tops/multipacks.html
Men,T-shirts & Tops,Vests,https://www2.hm.com/en_in/men/shop-by-product/tshirts-tank-tops/tanks.html
Men,T-shirts & Tops,T-Shirts,https://www2.hm.com/en_in/men/shop-by-product/tshirts-tank-tops/short-sleeves.html
Men,T-shirts & Tops,Long Sleeve,https://www2.hm.com/en_in/men/shop-by-product/tshirts-tank-tops/long-sleeves.html
Men,T-shirts & Tops,Graphic Tees & Printed T-Shirts,https://www2.hm.com/en_in/men/shop-by-product/tshirts-tank-tops/graphic-printed-t-shirts.html
Men,Shirts,Long Sleeve,https://www2.hm.com/en_in/men/shop-by-product/shirts/long-sleeve.html
Men,Shirts,Casual Shirts,https://www2.hm.com/en_in/men/shop-by-product/shirts/casual.html
Men,Shirts,Dress Shirts,https://www2.hm.com/en_in/men/shop-by-product/shirts/dressed.html
Men,Shirts,Short Sleeve,https://www2.hm.com/en_in/men/shop-by-product/shirts/short-sleeve-shirts.html
Men,Shirts,Linen Shirts,https://www2.hm.com/en_in/men/shop-by-product/shirts/linen.html
Men,Shirts,Shirt Jackets,https://www2.hm.com/en_in/men/shop-by-product/shirts/shirt-jacket.html
Men,Trousers,Chinos,https://www2.hm.com/en_in/men/shop-by-product/trousers/chinos.html
Men,Trousers,Joggers,https://www2.hm.com/en_in/men/shop-by-product/trousers/joggers.html
Men,Trousers,Cargo,https://www2.hm.com/en_in/men/shop-by-product/trousers/cargo-trousers.html
Men,Trousers,Smart,https://www2.hm.com/en_in/men/shop-by-product/trousers/smart-trousers.html
Men,Trousers,Linen Trousers,https://www2.hm.com/en_in/men/shop-by-product/trousers/linen.html
Men,Jeans,Regular Fit & Straight,https://www2.hm.com/en_in/men/shop-by-product/jeans/regular-fit.html
Men,Jeans,Relaxed,https://www2.hm.com/en_in/men/shop-by-product/jeans/relaxed.html
Men,Jeans,Baggy & Loose,https://www2.hm.com/en_in/men/shop-by-product/jeans/loose.html
Men,Jeans,Flare & Bootcut,https://www2.hm.com/en_in/men/shop-by-product/jeans/bootcut.html
Men,Jeans,Slim,https://www2.hm.com/en_in/men/shop-by-product/jeans/slim.html
Men,Jeans,Skinny,https://www2.hm.com/en_in/men/shop-by-product/jeans/skinny.html
Men,Jeans,Joggers,https://www2.hm.com/en_in/men/shop-by-product/jeans/joggers.html
Men,Hoodies & Sweatshirts,Graphic Hoodies & Sweatshirts,https://www2.hm.com/en_in/men/shop-by-product/hoodies-sweatshirts/printed.html
Men,Hoodies & Sweatshirts,Hoodies,https://www2.hm.com/en_in/men/shop-by-product/hoodies-sweatshirts/hoodies.html
Men,Hoodies & Sweatshirts,Sweatshirts,https://www2.hm.com/en_in/men/shop-by-product/hoodies-sweatshirts/sweatshirts.html
Men,Jackets & Coats,Quilted Jackets,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/quilted-jackets.html
Men,Jackets & Coats,Fleece & Teddy,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/fleece-and-teddy.html
Men,Jackets & Coats,Gilets,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/puffer-vests.html
Men,Jackets & Coats,Outdoor,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/waterproof.html
Men,Jackets & Coats,Jackets,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/jackets.html
Men,Jackets & Coats,Windbreakers,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/windbreaker-jackets.html
Men,Jackets & Coats,overshirts,https://www2.hm.com/en_in/men/shop-by-product/jackets-coats/shirt-jackets.html
Men,Polos,Polos,https://www2.hm.com/en_in/men/shop-by-product/polos.html
Men,Shorts,Linen,https://www2.hm.com/en_in/men/shop-by-product/shorts/linen.html
Men,Shorts,Jogger Shorts,https://www2.hm.com/en_in/men/shop-by-product/shorts/jogger.html
Men,Shorts,Jeans Shorts,https://www2.hm.com/en_in/men/shop-by-product/shorts/jeans-shorts.html
Men,Shorts,Chino Shorts,https://www2.hm.com/en_in/men/shop-by-product/shorts/chino-shorts.html
Men,Shorts,Cargo Shorts,https://www2.hm.com/en_in/men/shop-by-product/shorts/cargo-shorts.html
Men,Shorts,Casual,https://www2.hm.com/en_in/men/shop-by-product/shorts/casual-shorts.html
Men,Sweaters & Cardigans,Cardigans,https://www2.hm.com/en_in/men/shop-by-product/cardigans-jumpers/cardigans.html
Men,Sweaters & Cardigans,Sweaters,https://www2.hm.com/en_in/men/shop-by-product/cardigans-jumpers/jumpers.html
Men,Sweaters & Cardigans,Turtlenecks,https://www2.hm.com/en_in/men/shop-by-product/cardigans-jumpers/turtleneck-jumpers.html
Men,Sportswear,T-shirts & Tops,https://www2.hm.com/en_in/men/shop-by-product/sportswear/tops-t-shirts.html
Men,Sportswear,Shorts,https://www2.hm.com/en_in/men/shop-by-product/sportswear/shorts.html
Men,Sportswear,Jackets,https://www2.hm.com/en_in/men/shop-by-product/sportswear/jackets.html
Men,Sportswear,Trousers & Joggers,https://www2.hm.com/en_in/men/shop-by-product/sportswear/trousers-joggers.html
Men,Sportswear,Sports Accessories,https://www2.hm.com/en_in/men/shop-by-product/sportswear/sports-accessories.html
Men,Sportswear,Bottoms,https://www2.hm.com/en_in/men/shop-by-product/sportswear/bottoms.html
