Category,Product Name,Product Link,Primary Image,Original Price,Sale Price,Description,Sizes,All Images
t-shirts,UNCONDITIONAL T-SHIRT,https://www.bluorng.com/products/unconditional-tee,//bluorng.com/cdn/shop/products/unconditional-tee-930841.jpg?v=1659364095&width=533,"RS. 3,495","RS. 3,495","This tee has pink colour print on the back says ""UNCONDITIONAL""","XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/unconditional-tee-930841.jpg?v=1659364095&width=1946, //bluorng.com/cdn/shop/products/unconditional-tee-837115.jpg?v=1659364095&width=1946, //bluorng.com/cdn/shop/products/unconditional-tee-215035.jpg?v=1659361295&width=1946, //bluorng.com/cdn/shop/products/unconditional-tee-322259.jpg?v=1659361295&width=1946"
t-shirts,Hoodie combo (Unisex),https://www.bluorng.com/collections/hoodie-combo-unisex,//bluorng.com/cdn/shop/files/k3.jpg?v=1699165759&width=1500,,,,,
t-shirts,BLUE ORANGE tee,https://www.bluorng.com/products/blue-orange-tee,//bluorng.com/cdn/shop/products/blue-orange-tee-768311.jpg?v=1644753383&width=533,"RS. 2,995","RS. 2,995","Over sized t-shirt with hand developed screen print. This t-shirt is a collaboration between BLUORNG x WEARABLE. CHE is the go to guy if you want some real nice custom sneakers, but did you know he is one hell of a farmer as-well? CHE came up with the idea of deriving the design for this tee from the brand name itself. Quite literally 'Blue-orange' ~ 'Blue colour ke orange' Grown on WEARABLE farms, rest assure that these will be real juicy","XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/blue-orange-tee-768311.jpg?v=1644753383&width=1946, //bluorng.com/cdn/shop/products/blue-orange-tee-561697.jpg?v=1644753383&width=1946, //bluorng.com/cdn/shop/products/blue-orange-tee-597150.jpg?v=1644753383&width=1946, //bluorng.com/cdn/shop/products/blue-orange-tee-959699.jpg?v=1644753383&width=1946, //bluorng.com/cdn/shop/products/blue-orange-tee-949474.jpg?v=1644753383&width=1946, //bluorng.com/cdn/shop/products/blue-orange-tee-386985.jpg?v=1644753383&width=1946"
t-shirts,UNREAL tee white,https://www.bluorng.com/products/unreal-tee-white,//bluorng.com/cdn/shop/products/unreal-tee-white-172589.jpg?v=1644537061&width=533,"RS. 2,595","RS. 2,595",,,
t-shirts,UNREAL tee black,https://www.bluorng.com/products/unreal-tee-black,//bluorng.com/cdn/shop/products/unreal-tee-black-106215.jpg?v=1644537082&width=533,"RS. 2,595","RS. 2,595",,,
sweatshirts,Hoodie combo (Unisex),https://www.bluorng.com/collections/hoodie-combo-unisex,//bluorng.com/cdn/shop/files/k3.jpg?v=1699165759&width=1500,,,,,
sweatshirts,BLACK SHINE SWEATSHIRT,https://www.bluorng.com/products/black-shine-sweatshirt,//bluorng.com/cdn/shop/products/image.heic?v=1670479696&width=533,"RS. 6,995","RS. 6,995",Back - Artwork,"XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/image.heic?v=1670479696&width=1946, //bluorng.com/cdn/shop/products/image_4366d8dd-382c-4d6b-bf18-b9bf32805fd0.heic?v=1670479696&width=1946, //bluorng.com/cdn/shop/products/black-shine-sweatshirt-757271.jpg?v=1670479696&width=1946, //bluorng.com/cdn/shop/products/black-shine-sweatshirt-212461.jpg?v=1670479696&width=1946, //bluorng.com/cdn/shop/products/black-shine-sweatshirt-286317.jpg?v=1670479696&width=1946, //bluorng.com/cdn/shop/products/black-shine-sweatshirt-604707.jpg?v=1670479696&width=1946"
sweatshirts,BLACK KRAKEN HOODIE,https://www.bluorng.com/products/black-kraken-hoodie,//bluorng.com/cdn/shop/products/black-kraken-hoodie-109065.jpg?v=1667677513&width=533,"RS. 8,995","RS. 8,995",The Kraken is a legendary sea monster of enormous size said to appear off the coasts of Norway. Branding (in puff),"XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/black-kraken-hoodie-109065.jpg?v=1667677513&width=1946, //bluorng.com/cdn/shop/products/black-kraken-hoodie-203284.jpg?v=1667677513&width=1946, //bluorng.com/cdn/shop/products/black-kraken-hoodie-797375.jpg?v=1667677513&width=1946"
sweatshirts,RED SHINE SWEATSHIRT,https://www.bluorng.com/products/red-shine-sweatshirt,//bluorng.com/cdn/shop/products/red-shine-sweatshirt-776713.jpg?v=1670480438&width=533,"RS. 6,995","RS. 6,995",Back - Artwork,"XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/red-shine-sweatshirt-776713.jpg?v=1670480438&width=1946, //bluorng.com/cdn/shop/products/red-shine-sweatshirt-837157.jpg?v=1670480438&width=1946, //bluorng.com/cdn/shop/products/red-shine-sweatshirt-958781.jpg?v=1670480438&width=1946, //bluorng.com/cdn/shop/products/red-shine-sweatshirt-950895.jpg?v=1670480438&width=1946, //bluorng.com/cdn/shop/products/red-shine-sweatshirt-125482.jpg?v=1670480438&width=1946"
sweatshirts,BLU DRAGON SWEATSHIRT,https://www.bluorng.com/products/blu-dragon-sweatshirt,//bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-741418.jpg?v=1666293147&width=533,"RS. 6,995","RS. 6,995",Front - Branding (in puff),"XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-741418.jpg?v=1666293147&width=1946, //bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-625981.jpg?v=1666293147&width=1946, //bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-151329.jpg?v=1666293147&width=1946, //bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-535739.jpg?v=1666293147&width=1946, //bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-108949.jpg?v=1666293147&width=1946, //bluorng.com/cdn/shop/products/blu-dragon-sweatshirt-946782.jpg?v=1666293147&width=1946"
sweatshirts,FAVOR GREEN SWEATSHIRT,https://www.bluorng.com/products/green-favour-sweatshirt,//bluorng.com/cdn/shop/products/favour-green-sweatshirt-244545.jpg?v=1672130320&width=533,"RS. 6,995","RS. 6,995","DO ME A FAVOUR I WILL FOREVER BE IN YOUR DEBT""

                        ""I'LL DO YOU A FAVOUR YOU WILL FOREVER BE IN MY DEBT""
                        
                        Front - Branding (in puff)
                        
                        Allow 24 hrs to ship","XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/favour-green-sweatshirt-244545.jpg?v=1672130320&width=1946, //bluorng.com/cdn/shop/products/favour-green-sweatshirt-743456.jpg?v=1672130320&width=1946, //bluorng.com/cdn/shop/products/favour-green-sweatshirt-559068.jpg?v=1672130320&width=1946, //bluorng.com/cdn/shop/products/favour-green-sweatshirt-719761.jpg?v=1672130320&width=1946, //bluorng.com/cdn/shop/products/favour-green-sweatshirt-139001.jpg?v=1672130320&width=1946"
sweatshirts,GREEN DRAGON SWEATSHIRT,https://www.bluorng.com/products/green-dragon-sweatshirt,//bluorng.com/cdn/shop/products/green-dragon-sweatshirt-771262.jpg?v=1666293150&width=533,"RS. 6,995","RS. 6,995",Front - Branding (in puff),"XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/green-dragon-sweatshirt-771262.jpg?v=1666293150&width=1946, //bluorng.com/cdn/shop/products/green-dragon-sweatshirt-278548.jpg?v=1666293150&width=1946, //bluorng.com/cdn/shop/products/green-dragon-sweatshirt-593284.jpg?v=1666293150&width=1946, //bluorng.com/cdn/shop/products/green-dragon-sweatshirt-186960.jpg?v=1666293150&width=1946, //bluorng.com/cdn/shop/products/green-dragon-sweatshirt-829046.jpg?v=1666293150&width=1946, //bluorng.com/cdn/shop/products/green-dragon-sweatshirt-965308.jpg?v=1666293150&width=1946"
sweatshirts,BLU FAVOUR SWEATSHIRT,https://www.bluorng.com/products/blu-favour-sweatshirt,//bluorng.com/cdn/shop/products/blu-favour-sweatshirt-820408.jpg?v=1672130772&width=533,"RS. 6,995","RS. 6,995","""DO ME A FAVOUR I WILL FOREVER BE IN YOUR DEBT""","XXS, XS, S, M, L, XL, XXL, XXXL","//bluorng.com/cdn/shop/products/blu-favour-sweatshirt-820408.jpg?v=1672130772&width=1946, //bluorng.com/cdn/shop/products/blu-favour-sweatshirt-402708.jpg?v=1672130772&width=1946, //bluorng.com/cdn/shop/products/blu-favour-sweatshirt-565938.jpg?v=1672130772&width=1946, //bluorng.com/cdn/shop/products/blu-favour-sweatshirt-383417.jpg?v=1672130772&width=1946, //bluorng.com/cdn/shop/products/blu-favour-sweatshirt-415432.jpg?v=1672130772&width=1946, //bluorng.com/cdn/shop/products/blu-favour-sweatshirt-454499.jpg?v=1672130772&width=1946"
