Category,Sub Category,Product Name,Product Link,Sale Price,Original Price,Primary Image,Product Secondary Images,Product Id
Men Shirts,Linen Shirts,Regular Fit Short-sleeved linen-blend shirt,https://www2.hm.com/en_in/productpage.1207768002.html,,"1,499","['lp2.hm.com/hmgoepprod?set=source[/2b/e7/2be75b7067b26f3d6d82aa7eca5db55c15d496bc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/71/1e/711e17cf3ef78b2d989c61751f601bd4a972364d.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/2b/e7/2be75b7067b26f3d6d82aa7eca5db55c15d496bc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/71/1e/711e17cf3ef78b2d989c61751f601bd4a972364d.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1207768002
Men Shirts,Linen Shirts,Regular Fit Short-sleeved linen-blend shirt,https://www2.hm.com/en_in/productpage.1207768001.html,,"1,499","['lp2.hm.com/hmgoepprod?set=source[/34/95/349519eb602b319c6901538315f79aed22c20406.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/97/02/9702a4a8c6b6e799faa456eb0b36bd875e97977a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/34/95/349519eb602b319c6901538315f79aed22c20406.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/97/02/9702a4a8c6b6e799faa456eb0b36bd875e97977a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1207768001
Men Shirts,Linen Shirts,Regular Fit Linen shirt,https://www2.hm.com/en_in/productpage.1127523009.html,,"2,999","['lp2.hm.com/hmgoepprod?set=source[/f7/4b/f74b0e5c514633a772b5027500d09471c3a64a84.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/e4/32/e432a5ba517e0ea9e089ddb6a9ddd2635cb10b99.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/f7/4b/f74b0e5c514633a772b5027500d09471c3a64a84.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/e4/32/e432a5ba517e0ea9e089ddb6a9ddd2635cb10b99.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1127523009
Men Shirts,Linen Shirts,Relaxed Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.1160688007.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/ed/61/ed61ffac3f1e8ae416f6e410c2fdb2be014722bb.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/78/87/78879fbab098749d5d7bdf64a9fe66270c73a9f9.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/ed/61/ed61ffac3f1e8ae416f6e410c2fdb2be014722bb.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/78/87/78879fbab098749d5d7bdf64a9fe66270c73a9f9.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1160688007
Men Shirts,Linen Shirts,Relaxed Fit Linen resort shirt,https://www2.hm.com/en_in/productpage.1165059007.html,,"2,299","['lp2.hm.com/hmgoepprod?set=source[/9b/32/9b32b851abae4101273f76d2cf34d89b8b0abae0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/03/9a/039addc0e58248b1a31cb0ba6f1d4601c0a54d43.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/9b/32/9b32b851abae4101273f76d2cf34d89b8b0abae0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/03/9a/039addc0e58248b1a31cb0ba6f1d4601c0a54d43.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1165059007
Men Shirts,Linen Shirts,Regular Fit Linen-blend resort shirt,https://www2.hm.com/en_in/productpage.1228015004.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/e6/9d/e69d40609a1209496c38582661e545883ac4846e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/50/77/507710a762a52381995b1cde8e84b8f896902f86.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/e6/9d/e69d40609a1209496c38582661e545883ac4846e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/50/77/507710a762a52381995b1cde8e84b8f896902f86.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1228015004
Men Shirts,Linen Shirts,Regular Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.0965257012.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/45/8b/458bfb5a7651bf3e9f399873b2e10e379f20aa2e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/d5/9a/d59a0a9ccd4cc6ddeff0ffec007ae718b82e70fe.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/45/8b/458bfb5a7651bf3e9f399873b2e10e379f20aa2e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/d5/9a/d59a0a9ccd4cc6ddeff0ffec007ae718b82e70fe.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",0965257012
Men Shirts,Linen Shirts,Regular Fit Linen shirt,https://www2.hm.com/en_in/productpage.1226634002.html,,"2,999","['lp2.hm.com/hmgoepprod?set=source[/f3/08/f308d746b05114bad8d3af7fd6359d6889db8917.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/99/a6/99a661e876066bfa2cb12586a71b128c9f91a335.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/f3/08/f308d746b05114bad8d3af7fd6359d6889db8917.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/99/a6/99a661e876066bfa2cb12586a71b128c9f91a335.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226634002
Men Shirts,Linen Shirts,Regular Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.1213473007.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/aa/89/aa89023ad5eca6088c806dd81d99fb3b79daad12.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/19/d8/19d8f8f79047a467a1d36e7892aaa41d6122e5c5.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/aa/89/aa89023ad5eca6088c806dd81d99fb3b79daad12.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/19/d8/19d8f8f79047a467a1d36e7892aaa41d6122e5c5.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1213473007
Men Shirts,Linen Shirts,Regular Fit Linen-blend resort shirt,https://www2.hm.com/en_in/productpage.1228015002.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/24/30/243091b9265d2deb4d711c27dee503518db9335f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/bf/9f/bf9f3aee8e5f1f9c050489aeccaa53933f35e87f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/24/30/243091b9265d2deb4d711c27dee503518db9335f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/bf/9f/bf9f3aee8e5f1f9c050489aeccaa53933f35e87f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1228015002
Men Shirts,Linen Shirts,Regular Fit Linen shirt,https://www2.hm.com/en_in/productpage.1226634001.html,,"2,999","['lp2.hm.com/hmgoepprod?set=source[/06/a5/06a5da19195701081bdcabe5e6a27e96405380ed.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/90/67/9067d0dc6da14b2f44cc7b7e3d3b0298ade697f7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/06/a5/06a5da19195701081bdcabe5e6a27e96405380ed.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/90/67/9067d0dc6da14b2f44cc7b7e3d3b0298ade697f7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1226634001
Men Shirts,Linen Shirts,Regular Fit Linen-blend shirt,https://www2.hm.com/en_in/productpage.1213473001.html,,"1,999","['lp2.hm.com/hmgoepprod?set=source[/52/b2/52b29b5f0441a5cb0b2d3cd826a44229c9646b97.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/5f/34/5f34438232cc78b749fbc5adeaf3a4355fad3df3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']","['lp2.hm.com/hmgoepprod?set=source[/52/b2/52b29b5f0441a5cb0b2d3cd826a44229c9646b97.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'lp2.hm.com/hmgoepprod?set=source[/5f/34/5f34438232cc78b749fbc5adeaf3a4355fad3df3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]']",1213473001
